CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,LATITUD,LONGITUD,FECHA DE CORTE
15,BOYACÁ,ORIENTE,15022,ALMEIDA,315022000196,I.E. ENRIQUE SUAREZ,215022000078,ESC EL ROSAL,RURAL,4.94506202,-73.38084868,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000196,ESC CAJON,RURAL,5.369444,-72.881389,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000439,ESC DAITO,RURAL,5.498777603,-72.91264973,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000099,I.E. REGION SUR DE AQUITANIA,215047000579,ESC DIGANOME,RURAL,5.304167,-72.927778,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000188,ESC EL TOBAL,RURAL,5.508333,-72.869167,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000650,ESC GARAGOA,RURAL,5.511944,-72.883889,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000234,ESC HATOLAGUNA,RURAL,5.586463121,-72.89043746,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000633,ESC PLAYA Y CHITAL,RURAL,5.502775098,-72.90565412,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000099,I.E. REGION SUR DE AQUITANIA,215047000587,ESC SAN JUAN DE MOMBITA,RURAL,5.288333,-72.927778,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000099,I.E. REGION SUR DE AQUITANIA,215047000102,ESC SISVACA,RURAL,5.304444,-72.922222,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000226,ESC SUSACA,RURAL,5.518333,-72.8825,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000099,I.E. REGION SUR DE AQUITANIA,215047000099,I.E. REGION SUR DE AQUITANIA - SEDE PRINCIPAL,RURAL,5.296036691,-72.96669619,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000153,I.E. SUSE,215047000153,I.E. SUSE - SEDE PRINCIPAL,RURAL,5.4815741,-72.94493902,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000170,I.E. TOQUILLA - SEDE PRINCIPAL,RURAL,5.523976095,-72.79386704,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000153,I.E. SUSE,215047000218,SEDE DEL UPIA,RURAL,5.386667,-72.909722,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000153,I.E. SUSE,215047000668,SEDE LA LAJA,RURAL,5.479181,-72.953978,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000463,SEDE LOS COLORADOS,RURAL,5.508611,-72.783056,"Tuesday, April 16, 2024"
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000153,I.E. SUSE,215047000412,SEDE SAN JOSE,RURAL,5.383333,-72.919444,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000079,ESC PEÑAS BLANCAS,RURAL,5.785068719,-73.46116816,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000052,ESC QUIRVAQUIRA I,RURAL,5.684024907,-73.36293687,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000176,ESC QUIRVAQUIRA II,RURAL,5.711550512,-73.375272,"Tuesday, April 16, 2024"
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000011,I.E. TECNICA SUSANA GUILLEMIN,215087000253,ESC ALTO DE CANUTOS,RURAL,6.03884512,-72.92356678,"Tuesday, April 16, 2024"
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000011,I.E. TECNICA SUSANA GUILLEMIN,215087000130,ESC CARACOLES,RURAL,6.034377,-72.918289,"Tuesday, April 16, 2024"
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000208,I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000164,ESC SAN JOSE DE LA MONTAÑA,RURAL,6.034222222,-73.02388889,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15090,BERBEO,315090000064,I.E. CAMPO ELIAS CORTES,215090000027,ESC BATATAL BAJO,RURAL,5.17902567,-73.08446044,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15092,BETÉITIVA,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O,215092000083,ESC RURAL SOIQUÍA,RURAL,5.907745,-72.8639,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15092,BETÉITIVA,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,RURAL,5.910076503,-72.86543782,"Tuesday, April 16, 2024"
15,BOYACÁ,NORTE,15097,BOAVITA,115097000265,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,215097000227,ESC RIO DE ARRIBA,RURAL,6.353359714,-72.59594713,"Tuesday, April 16, 2024"
15,BOYACÁ,NORTE,15097,BOAVITA,115097000028,I.E. TECNICO AGRICOLA,215097000219,ESC RURAL CHULAVITA,RURAL,6.412089417,-72.61656296,"Tuesday, April 16, 2024"
15,BOYACÁ,NORTE,15097,BOAVITA,115097000036,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000235,ESC RURAL EL MELONAL,RURAL,6.312631564,-72.60748278,"Tuesday, April 16, 2024"
15,BOYACÁ,NORTE,15097,BOAVITA,115097000028,I.E. TECNICO AGRICOLA,215097000286,ESC SAN FRANCISCO,RURAL,6.398617062,-72.63102039,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,215104000092,I.E. TECNICA AGROPECUARIA SAN ISIDRO,215104000084,ESC HUERTAS N· 2,RURAL,5.429376466,-73.41392399,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000076,ESC PACHAQUIRA,RURAL,5.434503002,-73.36231744,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000068,ESC RIQUE,RURAL,5.447218842,-73.3884582,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000106,ESC RUPAGUATA,RURAL,5.437739069,-73.34608,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000146,COL BAS MEDIA LUNA,RURAL,5.714868143,-73.90014783,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000081,ESC PALO BLANCO,RURAL,5.667707226,-73.91139673,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000162,ESC RURAL TARPEYA,RURAL,5.703875034,-73.92652415,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,RURAL,5.476667,-73.943611,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000317,ESC HONDA,RURAL,5.5119459,-73.95504923,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000341,ESC NARANJITOS,RURAL,5.49169854,-73.93634034,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000066,ESC PATIÑO,RURAL,5.49169854,-73.93634034,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000037,ESC ANTONIO NARIÑO,RURAL,5.595833,-73.861667,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15131,CALDAS,115131000172,I.E. FRANCISCO JOSE DE CALDAS,215131000053,ESC CHINGAGUTA,RURAL,5.541393,-73.896675,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000100,ESC EL PALMAR,RURAL,5.590192662,-73.88909001,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000096,ESC QUIPE CERRO ALTO,RURAL,5.581944,-73.8625,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15131,CALDAS,115131000172,I.E. FRANCISCO JOSE DE CALDAS,215131000088,ESC TIERRA NEGRA,RURAL,5.558336438,-73.90304674,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,415135000324,ESC CENTRO,RURAL,5.017563,-73.205673,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000244,ESC RUR COLOMBIA,RURAL,5.018611,-73.08,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000317,ESC RUR HOYA GRANDE SAN JOSE,RURAL,5.043713442,-73.22386271,"Tuesday, April 16, 2024"
